YUGIPEDIA CARD TITLE=2269,_O,ID,QTD,SET,COD,Name,Rarity,CARD1,CARD2,TYPE1,TYPE2,Attrib,LV,ATK,DEF,DescEffect,Link,IMG_URL,LIMIT,=IMAGE(S1),detecta duplicatas,0
Grand Tiki Elder,716,598,,SBCB,EN109,Grand Tiki Elder,Common,Monster,Normal,Fiend,,DARK,4,1500,800,A masked monster that wields the most deadly of curses.,https://yugipedia.com/wiki/Grand_Tiki_Elder,https://ms.yugipedia.com//thumb/9/9e/GrandTikiElder-SBCB-EN-C-1E.png/300px-GrandTikiElder-SBCB-EN-C-1E.png,4,,SBCBEN109Grand Tiki ElderCommon,1
Melchid the Four-Face Beast,717,462,,SBCB,EN110,Melchid the Four-Face Beast,Common,Monster,Normal,Fiend,,DARK,4,1500,1200,This monster has four different masks for four different attacks.,https://yugipedia.com/wiki/Melchid_the_Four-Face_Beast,https://ms.yugipedia.com//thumb/4/49/MelchidtheFourFaceBeast-SBCB-EN-C-1E.png/300px-MelchidtheFourFaceBeast-SBCB-EN-C-1E.png,4,,SBCBEN110Melchid the Four-Face BeastCommon,1
Beast of Talwar,718,599,,SBCB,EN111,Beast of Talwar,Common,Monster,Normal,Fiend,,DARK,6,2400,2150,"Only the master of the sword among Fiend-Type monsters is permitted to hold the Talwar.


(This card is always treated as an ""Archfiend"" card.)",https://yugipedia.com/wiki/Beast_of_Talwar,https://ms.yugipedia.com//thumb/f/f0/BeastofTalwar-SBCB-EN-C-1E.png/300px-BeastofTalwar-SBCB-EN-C-1E.png,4,,SBCBEN111Beast of TalwarCommon,1
Opticlops,719,600,,SBCB,EN112,Opticlops,Common,Monster,Normal,Fiend,,DARK,4,1800,1700,"A one-eyed giant that serves the ""Dark Ruler Ha Des"", it skewers its enemies with its sharp horn, shattering them to pieces.",https://yugipedia.com/wiki/Opticlops,https://ms.yugipedia.com//thumb/5/50/Opticlops-SBCB-EN-C-1E.png/300px-Opticlops-SBCB-EN-C-1E.png,4,,SBCBEN112OpticlopsCommon,1
Wall of Illusion,720,601,,SBCB,EN113,Wall of Illusion,Common,Monster,Effect,Fiend,,DARK,4,1000,1850,"If this card is attacked by a monster, after damage calculation: Return that monster to the hand.",https://yugipedia.com/wiki/Wall_of_Illusion,https://ms.yugipedia.com//thumb/0/06/WallofIllusion-SBCB-EN-C-1E.png/300px-WallofIllusion-SBCB-EN-C-1E.png,4,,SBCBEN113Wall of IllusionCommon,1
Night Assailant,721,602,,SBCB,EN114,Night Assailant,Common,Monster,Effect,Fiend,Flip,DARK,3,200,500,"FLIP: Target 1 monster your opponent controls; destroy that target.
If this card is sent from the hand to the GY: Target 1 Flip monster in your GY, except ""Night Assailant""; add that target to your hand.",https://yugipedia.com/wiki/Night_Assailant,https://ms.yugipedia.com//thumb/2/2e/NightAssailant-OP19-EN-C-UE.png/300px-NightAssailant-OP19-EN-C-UE.png,4,,SBCBEN114Night AssailantCommon,1
Ritual Raven,722,603,,SBCB,EN115,Ritual Raven,Common,Monster,Effect,Fiend,,DARK,1,300,300,"If you Ritual Summon exactly 1 DARK Ritual Monster with a card effect that requires use of monsters, this card can be used as the entire requirement.",https://yugipedia.com/wiki/Ritual_Raven,https://ms.yugipedia.com//thumb/1/17/RitualRaven-SBCB-EN-C-1E.png/300px-RitualRaven-SBCB-EN-C-1E.png,4,,SBCBEN115Ritual RavenCommon,1
The Masked Beast,723,604,,SBCB,EN116,The Masked Beast,Common,Monster,Ritual,Fiend,,DARK,8,3200,1800,"You can Ritual Summon this card with ""Curse of the Masked Beast"".",https://yugipedia.com/wiki/The_Masked_Beast,https://ms.yugipedia.com//thumb/1/10/TheMaskedBeast-SBCB-EN-C-1E.png/300px-TheMaskedBeast-SBCB-EN-C-1E.png,4,,SBCBEN116The Masked BeastCommon,1
Nobleman of Extermination,724,605,,SBCB,EN117,Nobleman of Extermination,Common,Spell,Normal,,,,,,,"Target 1 face-down Spell/Trap on the field; destroy that target, and if you do, banish it, then, if it was a Trap, each player reveals their Main Deck, then banishes all cards from it with that card's name.",https://yugipedia.com/wiki/Nobleman_of_Extermination,https://ms.yugipedia.com//thumb/f/ff/NoblemanofExtermination-SBCB-EN-C-1E.png/300px-NoblemanofExtermination-SBCB-EN-C-1E.png,4,,SBCBEN117Nobleman of ExterminationCommon,1
Mask of Brutality,725,606,,SBCB,EN118,Mask of Brutality,Common,Spell,Equip,,,,,,,"The equipped monster gains 1000 ATK and loses 1000 DEF. Once per turn, during your Standby Phase, pay 1000 LP or destroy this card.",https://yugipedia.com/wiki/Mask_of_Brutality,https://ms.yugipedia.com//thumb/a/a3/MaskofBrutality-SBCB-EN-C-1E.png/300px-MaskofBrutality-SBCB-EN-C-1E.png,4,,SBCBEN118Mask of BrutalityCommon,1
The Mask of Remnants,726,607,,SBCB,EN119,The Mask of Remnants,Common,Spell,Normal,,,,,,,"When this card is activated: Shuffle this card from the field into the Deck. While this card is equipped to a monster by the effect of ""Masked Beast Des Gardius"", take control of that monster.",https://yugipedia.com/wiki/The_Mask_of_Remnants,https://ms.yugipedia.com//thumb/5/5a/TheMaskofRemnants-SBCB-EN-C-1E.png/300px-TheMaskofRemnants-SBCB-EN-C-1E.png,4,,SBCBEN119The Mask of RemnantsCommon,1
Curse of the Masked Beast,727,608,,SBCB,EN120,Curse of the Masked Beast,Common,Spell,Ritual,,,,,,,"This card is used to Ritual Summon ""The Masked Beast"". You must also Tribute monsters from your hand or field whose total Levels equal 8 or more.",https://yugipedia.com/wiki/Curse_of_the_Masked_Beast,https://ms.yugipedia.com//thumb/6/66/CurseoftheMaskedBeast-SBCB-EN-C-1E.png/300px-CurseoftheMaskedBeast-SBCB-EN-C-1E.png,4,,SBCBEN120Curse of the Masked BeastCommon,1
Pre-Preparation of Rites,728,609,,SBCB,EN121,Pre-Preparation of Rites,Common,Spell,Normal,,,,,,,"Add 1 Ritual Spell from your Deck to your hand, and add 1 Ritual Monster from your Deck or GY to your hand whose name is listed on that Ritual Spell. You can only activate 1 ""Pre-Preparation of Rites"" per turn.",https://yugipedia.com/wiki/Pre-Preparation_of_Rites,https://ms.yugipedia.com//thumb/c/ce/PrePreparationofRites-SBCB-EN-C-1E.png/300px-PrePreparationofRites-SBCB-EN-C-1E.png,4,,SBCBEN121Pre-Preparation of RitesCommon,1
Widespread Ruin,729,610,,SBCB,EN122,Widespread Ruin,Common,Trap,Normal,,,,,,,"When an opponent's monster declares an attack: Destroy the 1 Attack Position monster your opponent controls with the highest ATK (your choice, if tied).",https://yugipedia.com/wiki/Widespread_Ruin,https://ms.yugipedia.com//thumb/2/20/WidespreadRuin-SBCB-EN-C-1E.png/300px-WidespreadRuin-SBCB-EN-C-1E.png,3,,SBCBEN122Widespread RuinCommon,1
Mask of Weakness,730,611,,SBCB,EN123,Mask of Weakness,Common,Trap,Normal,,,,,,,Target 1 attacking monster; that target loses 700 ATK until the end of this turn.,https://yugipedia.com/wiki/Mask_of_Weakness,https://ms.yugipedia.com//thumb/6/6b/MaskofWeakness-SBCB-EN-C-1E.png/300px-MaskofWeakness-SBCB-EN-C-1E.png,4,,SBCBEN123Mask of WeaknessCommon,1
Bark of Dark Ruler,731,612,,SBCB,EN124,Bark of Dark Ruler,Common,Trap,Normal,,,,,,,"If a Fiend monster you control battles, during the Damage Step: Pay LP (in multiples of 100), then target the opponent's battling monster; that opponent's monster loses that much ATK and DEF, until the end of this turn.",https://yugipedia.com/wiki/Bark_of_Dark_Ruler,https://ms.yugipedia.com//thumb/9/97/BarkofDarkRuler-SBCB-EN-C-1E.png/300px-BarkofDarkRuler-SBCB-EN-C-1E.png,4,,SBCBEN124Bark of Dark RulerCommon,1
Soul Demolition,732,613,,SBCB,EN125,Soul Demolition,Common,Trap,Continuous,,,,,,,"If you control a Fiend monster: You can pay 500 LP, then each player targets 1 monster in their opponent's GY; banish those targets.",https://yugipedia.com/wiki/Soul_Demolition,https://ms.yugipedia.com//thumb/f/f7/SoulDemolition-SBCB-EN-C-1E.png/300px-SoulDemolition-SBCB-EN-C-1E.png,4,,SBCBEN125Soul DemolitionCommon,1
Dark Smog,733,614,,SBCB,EN126,Dark Smog,Common,Trap,Continuous,,,,,,,"Once per turn: You can target 1 monster in your opponent's GY; discard 1 Fiend monster, and if you do, banish that target.",https://yugipedia.com/wiki/Dark_Smog,https://ms.yugipedia.com//thumb/0/01/DarkSmog-SBCB-EN-C-1E.png/300px-DarkSmog-SBCB-EN-C-1E.png,4,,SBCBEN126Dark SmogCommon,1
Keldo,734,615,,SBCB,EN127,Keldo,Common,Monster,Effect,Fairy,,EARTH,4,1200,1600,If this card is destroyed by battle and sent to the GY: Target 2 cards in your opponent's GY; shuffle them into the Deck.,https://yugipedia.com/wiki/Keldo,https://ms.yugipedia.com//thumb/d/da/Keldo-SBCB-EN-C-1E.png/300px-Keldo-SBCB-EN-C-1E.png,4,,SBCBEN127KeldoCommon,1
Mudora,735,616,,SBCB,EN128,Mudora,Common,Monster,Effect,Fairy,,EARTH,4,1500,1800,Gains 200 ATK for each Fairy monster in your GY.,https://yugipedia.com/wiki/Mudora,https://ms.yugipedia.com//thumb/c/cc/Mudora-SBCB-EN-C-1E.png/300px-Mudora-SBCB-EN-C-1E.png,4,,SBCBEN128MudoraCommon,1
Zolga,736,617,,SBCB,EN129,Zolga,Common,Monster,Effect,Fairy,,EARTH,4,1700,1200,If a monster is Tribute Summoned by Tributing this card: Gain 2000 LP.,https://yugipedia.com/wiki/Zolga,https://ms.yugipedia.com//thumb/a/a7/Zolga-SBCB-EN-C-1E.png/300px-Zolga-SBCB-EN-C-1E.png,4,,SBCBEN129ZolgaCommon,1
Kelbek,737,618,,SBCB,EN130,Kelbek,Common,Monster,Effect,Fairy,,EARTH,4,1500,1800,"If this card is attacked by a monster, after damage calculation: Return that monster to the hand.",https://yugipedia.com/wiki/Kelbek,https://ms.yugipedia.com//thumb/3/32/Kelbek-SBCB-EN-C-1E.png/300px-Kelbek-SBCB-EN-C-1E.png,4,,SBCBEN130KelbekCommon,1
Skelengel,738,619,,SBCB,EN131,Skelengel,Common,Monster,Effect,Fairy,Flip,LIGHT,2,900,400,FLIP: Draw 1 card.,https://yugipedia.com/wiki/Skelengel,https://ms.yugipedia.com//thumb/9/98/Skelengel-SBCB-EN-C-1E.png/300px-Skelengel-SBCB-EN-C-1E.png,4,,SBCBEN131SkelengelCommon,1
Airknight Parshath,739,620,,SBCB,EN132,Airknight Parshath,Common,Monster,Effect,Fairy,,LIGHT,5,1900,1400,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.",https://yugipedia.com/wiki/Airknight_Parshath,https://ms.yugipedia.com//thumb/e/eb/AirknightParshath-SBCB-EN-C-1E.png/300px-AirknightParshath-SBCB-EN-C-1E.png,4,,SBCBEN132Airknight ParshathCommon,1
Airknight Parshath,740,620,,SBCB,EN132,Airknight Parshath,Secret Rare,Monster,Effect,Fairy,,LIGHT,5,1900,1400,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.",https://yugipedia.com/wiki/Airknight_Parshath,https://ms.yugipedia.com//thumb/e/eb/AirknightParshath-SBCB-EN-C-1E.png/300px-AirknightParshath-SBCB-EN-C-1E.png,4,,SBCBEN132Airknight ParshathSecret Rare,1
Moisture Creature,741,621,,SBCB,EN133,Moisture Creature,Common,Monster,Effect,Fairy,,LIGHT,9,2800,2900,You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all Spells and Traps your opponent controls.,https://yugipedia.com/wiki/Moisture_Creature,https://ms.yugipedia.com//thumb/3/3b/MoistureCreature-SBCB-EN-C-1E.png/300px-MoistureCreature-SBCB-EN-C-1E.png,4,,SBCBEN133Moisture CreatureCommon,1
Guardian Angel Joan,742,622,,SBCB,EN134,Guardian Angel Joan,Common,Monster,Effect,Fairy,,LIGHT,7,2800,2000,When this card destroys a monster by battle and sends it to the GY: Gain LP equal to that monster's original ATK in the GY.,https://yugipedia.com/wiki/Guardian_Angel_Joan,https://ms.yugipedia.com//thumb/d/d3/GuardianAngelJoan-SBPR-EN-PScR-LE.png/300px-GuardianAngelJoan-SBPR-EN-PScR-LE.png,4,,SBCBEN134Guardian Angel JoanCommon,1
Angel O7,743,623,,SBCB,EN135,Angel O7,Common,Monster,Effect,Fairy,,LIGHT,7,2500,1500,"If this card is Tribute Summoned, it gains this effect:
● Neither player can activate monster effects.",https://yugipedia.com/wiki/Angel_O7,https://ms.yugipedia.com//thumb/f/f0/AngelO7-SBCB-EN-C-1E.png/300px-AngelO7-SBCB-EN-C-1E.png,4,,SBCBEN135Angel O7Common,1
Dimensional Alchemist,744,624,,SBCB,EN136,Dimensional Alchemist,Common,Monster,Effect,Fairy,,LIGHT,4,1300,200,"Once per turn: You can activate this effect; banish the top card of your Deck, and if you do, until the end of this turn, this card gains 500 ATK. When this card you control is destroyed and sent to your GY: You can target 1 of your banished monsters; add it to your hand.",https://yugipedia.com/wiki/Dimensional_Alchemist,https://ms.yugipedia.com//thumb/3/32/DimensionalAlchemist-SBCB-EN-C-1E.png/300px-DimensionalAlchemist-SBCB-EN-C-1E.png,4,,SBCBEN136Dimensional AlchemistCommon,1
Bonze Alone,745,625,,SBCB,EN137,Bonze Alone,Common,Monster,Effect,Fairy,,EARTH,1,100,100,Cannot be Normal or Special Summoned if you control a monster. You can Special Summon this card (from your hand) in Attack Position. If another monster(s) is Summoned to your field while you control this monster: Destroy this card.,https://yugipedia.com/wiki/Bonze_Alone,https://ms.yugipedia.com//thumb/0/0d/BonzeAlone-SBCB-EN-C-1E.png/300px-BonzeAlone-SBCB-EN-C-1E.png,4,,SBCBEN137Bonze AloneCommon,1
Nobleman of Crossout,746,626,,SBCB,EN138,Nobleman of Crossout,Common,Spell,Normal,,,,,,,"Target 1 face-down monster on the field; destroy that target, and if you do, banish it, then, if it was a Flip monster, each player reveals their Main Deck, then banishes all cards from it with that monster's name.",https://yugipedia.com/wiki/Nobleman_of_Crossout,https://ms.yugipedia.com//thumb/6/68/NoblemanofCrossout-SBCB-EN-C-1E.png/300px-NoblemanofCrossout-SBCB-EN-C-1E.png,4,,SBCBEN138Nobleman of CrossoutCommon,1
Nobleman of Crossout,747,626,,SBCB,EN138,Nobleman of Crossout,Secret Rare,Spell,Normal,,,,,,,"Target 1 face-down monster on the field; destroy that target, and if you do, banish it, then, if it was a Flip monster, each player reveals their Main Deck, then banishes all cards from it with that monster's name.",https://yugipedia.com/wiki/Nobleman_of_Crossout,https://ms.yugipedia.com//thumb/6/68/NoblemanofCrossout-SBCB-EN-C-1E.png/300px-NoblemanofCrossout-SBCB-EN-C-1E.png,4,,SBCBEN138Nobleman of CrossoutSecret Rare,1
Foolish Burial,748,627,,SBCB,EN139,Foolish Burial,Common,Spell,Normal,,,,,,,Send 1 monster from your Deck to the GY.,https://yugipedia.com/wiki/Foolish_Burial,https://ms.yugipedia.com//thumb/e/ee/FoolishBurial-SBCB-EN-C-1E.png/300px-FoolishBurial-SBCB-EN-C-1E.png,2,,SBCBEN139Foolish BurialCommon,1
Foolish Burial,749,627,,SBCB,EN139,Foolish Burial,Secret Rare,Spell,Normal,,,,,,,Send 1 monster from your Deck to the GY.,https://yugipedia.com/wiki/Foolish_Burial,https://ms.yugipedia.com//thumb/e/ee/FoolishBurial-SBCB-EN-C-1E.png/300px-FoolishBurial-SBCB-EN-C-1E.png,2,,SBCBEN139Foolish BurialSecret Rare,1
Cestus of Dagla,750,628,,SBCB,EN140,Cestus of Dagla,Common,Spell,Equip,,,,,,,Equip only to a Fairy monster. It gains 500 ATK. If it inflicts battle damage to your opponent: Gain LP equal to the damage inflicted.,https://yugipedia.com/wiki/Cestus_of_Dagla,https://ms.yugipedia.com//thumb/6/6a/CestusofDagla-SBCB-EN-C-1E.png/300px-CestusofDagla-SBCB-EN-C-1E.png,4,,SBCBEN140Cestus of DaglaCommon,1
"Valhalla, Hall of the Fallen",751,629,,SBCB,EN141,"Valhalla, Hall of the Fallen",Common,Spell,Continuous,,,,,,,Once per turn: You can Special Summon 1 Fairy monster from your hand. You must control no monsters to activate and to resolve this effect.,"https://yugipedia.com/wiki/Valhalla,_Hall_of_the_Fallen",https://ms.yugipedia.com//thumb/a/a6/ValhallaHalloftheFallen-SBCB-EN-C-1E.png/300px-ValhallaHalloftheFallen-SBCB-EN-C-1E.png,4,,"SBCBEN141Valhalla, Hall of the FallenCommon",1
"Valhalla, Hall of the Fallen",752,629,,SBCB,EN141,"Valhalla, Hall of the Fallen",Secret Rare,Spell,Continuous,,,,,,,Once per turn: You can Special Summon 1 Fairy monster from your hand. You must control no monsters to activate and to resolve this effect.,"https://yugipedia.com/wiki/Valhalla,_Hall_of_the_Fallen",https://ms.yugipedia.com//thumb/a/a6/ValhallaHalloftheFallen-SBCB-EN-C-1E.png/300px-ValhallaHalloftheFallen-SBCB-EN-C-1E.png,4,,"SBCBEN141Valhalla, Hall of the FallenSecret Rare",1
Cosmic Cyclone,753,630,,SBCB,EN142,Cosmic Cyclone,Common,Spell,Quick-Play,,,,,,,"Pay 1000 LP, then target 1 Spell/Trap on the field; banish it.",https://yugipedia.com/wiki/Cosmic_Cyclone,https://ms.yugipedia.com//thumb/2/24/CosmicCyclone-SDCB-EN-C-1E.png/300px-CosmicCyclone-SDCB-EN-C-1E.png,3,,SBCBEN142Cosmic CycloneCommon,1
Cosmic Cyclone,754,630,,SBCB,EN142,Cosmic Cyclone,Secret Rare,Spell,Quick-Play,,,,,,,"Pay 1000 LP, then target 1 Spell/Trap on the field; banish it.",https://yugipedia.com/wiki/Cosmic_Cyclone,https://ms.yugipedia.com//thumb/2/24/CosmicCyclone-SDCB-EN-C-1E.png/300px-CosmicCyclone-SDCB-EN-C-1E.png,3,,SBCBEN142Cosmic CycloneSecret Rare,1
Waboku,755,631,,SBCB,EN143,Waboku,Common,Trap,Normal,,,,,,,You take no battle damage this turn. Your monsters cannot be destroyed by battle this turn.,https://yugipedia.com/wiki/Waboku,https://ms.yugipedia.com//thumb/6/63/Waboku-HAC1-EN-C-1E.png/300px-Waboku-HAC1-EN-C-1E.png,4,,SBCBEN143WabokuCommon,1
Rope of Life,756,484,,SBCB,EN144,Rope of Life,Common,Trap,Normal,,,,,,,"When a monster(s) is destroyed by battle and sent to your GY: Discard your entire hand (min.1), then target 1 of those monsters; Special Summon it, and if you do, it gains 800 ATK.",https://yugipedia.com/wiki/Rope_of_Life,https://ms.yugipedia.com//thumb/4/42/RopeofLife-SBCB-EN-C-1E.png/300px-RopeofLife-SBCB-EN-C-1E.png,4,,SBCBEN144Rope of LifeCommon,1
Drop Off,757,632,,SBCB,EN145,Drop Off,Common,Trap,Normal,,,,,,,When your opponent draws for their normal draw in their Draw Phase: Your opponent discards 1 card they just drew.,https://yugipedia.com/wiki/Drop_Off,https://ms.yugipedia.com//thumb/4/47/DropOff-SBCB-EN-C-1E.png/300px-DropOff-SBCB-EN-C-1E.png,4,,SBCBEN145Drop OffCommon,1
Lost Wind,758,633,,SBCB,EN146,Lost Wind,Common,Trap,Normal,,,,,,,"Target 1 face-up Special Summoned monster on the field; negate its effects, also its original ATK is halved. If a monster is Special Summoned from your opponent's Extra Deck, while this card is in your GY (except during the Damage Step): You can Set this card, but banish it when it leaves the field.",https://yugipedia.com/wiki/Lost_Wind,https://ms.yugipedia.com//thumb/a/ae/LostWind-SBCB-EN-C-1E.png/300px-LostWind-SBCB-EN-C-1E.png,4,,SBCBEN146Lost WindCommon,1
Lost Wind,759,633,,SBCB,EN146,Lost Wind,Secret Rare,Trap,Normal,,,,,,,"Target 1 face-up Special Summoned monster on the field; negate its effects, also its original ATK is halved. If a monster is Special Summoned from your opponent's Extra Deck, while this card is in your GY (except during the Damage Step): You can Set this card, but banish it when it leaves the field.",https://yugipedia.com/wiki/Lost_Wind,https://ms.yugipedia.com//thumb/a/ae/LostWind-SBCB-EN-C-1E.png/300px-LostWind-SBCB-EN-C-1E.png,4,,SBCBEN146Lost WindSecret Rare,1
Jinzo,760,494,,SBCB,EN147,Jinzo,Common,Monster,Effect,Machine,,DARK,6,2400,1500,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",https://yugipedia.com/wiki/Jinzo,https://ms.yugipedia.com//thumb/d/d0/Jinzo-SBCB-EN-C-1E.png/300px-Jinzo-SBCB-EN-C-1E.png,4,,SBCBEN147JinzoCommon,1
Jinzo,761,494,,SBCB,EN147,Jinzo,Secret Rare,Monster,Effect,Machine,,DARK,6,2400,1500,"Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field.",https://yugipedia.com/wiki/Jinzo,https://ms.yugipedia.com//thumb/d/d0/Jinzo-SBCB-EN-C-1E.png/300px-Jinzo-SBCB-EN-C-1E.png,4,,SBCBEN147JinzoSecret Rare,1
The Fiend Megacyber,762,634,,SBCB,EN148,The Fiend Megacyber,Common,Monster,Effect,Warrior,,DARK,6,2200,1200,"If your opponent controls at least 2 more monsters than you do, you can Special Summon this card (from your hand).",https://yugipedia.com/wiki/The_Fiend_Megacyber,https://ms.yugipedia.com//thumb/8/8c/TheFiendMegacyber-SBCB-EN-C-1E.png/300px-TheFiendMegacyber-SBCB-EN-C-1E.png,4,,SBCBEN148The Fiend MegacyberCommon,1
Freed the Matchless General,763,635,,SBCB,EN149,Freed the Matchless General,Common,Monster,Effect,Warrior,,EARTH,5,2300,1700,"Negate any Spell effect that targets this card on the field when it resolves, and if you do, destroy that card. During your Draw Phase, instead of conducting your normal draw: You can add 1 Level 4 or lower Warrior monster from your Deck to your hand. This card must be face-up on the field to activate and to resolve this effect.",https://yugipedia.com/wiki/Freed_the_Matchless_General,https://ms.yugipedia.com//thumb/4/42/FreedtheMatchlessGeneral-SBCB-EN-C-1E.png/300px-FreedtheMatchlessGeneral-SBCB-EN-C-1E.png,4,,SBCBEN149Freed the Matchless GeneralCommon,1
Mysterious Guard,764,636,,SBCB,EN150,Mysterious Guard,Common,Monster,Effect,Spellcaster,Flip,EARTH,3,800,1200,"FLIP: Target 1 face-up monster on the field, and if you control a face-up Warrior monster, you can target 1 additional face-up monster on the field; place the first target to the top of the Deck, then return the additional target (if any) to the hand if you still control a face-up Warrior monster.",https://yugipedia.com/wiki/Mysterious_Guard,https://ms.yugipedia.com//thumb/f/ff/MysteriousGuard-SBCB-EN-C-1E.png/300px-MysteriousGuard-SBCB-EN-C-1E.png,4,,SBCBEN150Mysterious GuardCommon,1
Exiled Force,765,637,,SBCB,EN151,Exiled Force,Common,Monster,Effect,Warrior,,EARTH,4,1000,1000,"You can Tribute this card, then target 1 monster on the field; destroy that target.",https://yugipedia.com/wiki/Exiled_Force,https://ms.yugipedia.com//thumb/3/3d/ExiledForce-SBCB-EN-C-1E.png/300px-ExiledForce-SBCB-EN-C-1E.png,4,,SBCBEN151Exiled ForceCommon,1
Swarm of Scarabs,766,638,,SBCB,EN152,Swarm of Scarabs,Common,Monster,Effect,Insect,,DARK,3,500,1000,Once per turn: You can change this card to face-down Defense Position. If this card is Flip Summoned: Target 1 monster your opponent controls; destroy that target.,https://yugipedia.com/wiki/Swarm_of_Scarabs,https://ms.yugipedia.com//thumb/0/06/SwarmofScarabs-SBCB-EN-C-1E.png/300px-SwarmofScarabs-SBCB-EN-C-1E.png,4,,SBCBEN152Swarm of ScarabsCommon,1
Swarm of Locusts,767,639,,SBCB,EN153,Swarm of Locusts,Common,Monster,Effect,Insect,,DARK,3,1000,500,Once per turn: You can change this card to face-down Defense Position. If this card is Flip Summoned: Target 1 Spell/Trap your opponent controls; destroy that target.,https://yugipedia.com/wiki/Swarm_of_Locusts,https://ms.yugipedia.com//thumb/b/b4/SwarmofLocusts-SBCB-EN-C-1E.png/300px-SwarmofLocusts-SBCB-EN-C-1E.png,4,,SBCBEN153Swarm of LocustsCommon,1
Des Lacooda,768,640,,SBCB,EN154,Des Lacooda,Common,Monster,Effect,Zombie,,EARTH,3,500,600,Once per turn: You can change this card to face-down Defense Position. If this card is Flip Summoned: Draw 1 card.,https://yugipedia.com/wiki/Des_Lacooda,https://ms.yugipedia.com//thumb/c/cf/DesLacooda-SBCB-EN-C-1E.png/300px-DesLacooda-SBCB-EN-C-1E.png,4,,SBCBEN154Des LacoodaCommon,1
Dark Scorpion - Gorg the Strong,769,641,,SBCB,EN155,Dark Scorpion - Gorg the Strong,Common,Monster,Effect,Warrior,,DARK,5,1800,1500,"When this card inflicts battle damage to your opponent, you can activate 1 of these effects:
● Target 1 monster your opponent controls; return that target to the top of the Deck.
● Send the top card of their Deck to the GY.",https://yugipedia.com/wiki/Dark_Scorpion_-_Gorg_the_Strong,https://ms.yugipedia.com//thumb/a/a1/DarkScorpionGorgtheStrong-SBCB-EN-C-1E.png/300px-DarkScorpionGorgtheStrong-SBCB-EN-C-1E.png,4,,SBCBEN155Dark Scorpion - Gorg the StrongCommon,1
Dark Scorpion - Meanae the Thorn,770,642,,SBCB,EN156,Dark Scorpion - Meanae the Thorn,Common,Monster,Effect,Warrior,,DARK,4,1000,1800,"When this card inflicts battle damage to your opponent, you can activate 1 of these effects:
● Add 1 ""Dark Scorpion"" card from your Deck to your hand.
● Target 1 ""Dark Scorpion"" card in your GY; add that target to your hand.",https://yugipedia.com/wiki/Dark_Scorpion_-_Meanae_the_Thorn,https://ms.yugipedia.com//thumb/2/2e/DarkScorpionMeanaetheThorn-SBCB-EN-C-1E.png/300px-DarkScorpionMeanaetheThorn-SBCB-EN-C-1E.png,4,,SBCBEN156Dark Scorpion - Meanae the ThornCommon,1
Amplifier,771,643,,SBCB,EN157,Amplifier,Common,Spell,Equip,,,,,,,"Equip only to ""Jinzo"". This card's activation and effect cannot be negated. The equipped monster's effect, ""Trap Cards, and their effects on the field, cannot be activated. Negate all Trap effects on the field."" becomes ""Your opponent cannot activate Trap Cards, or their effects on the field. Negate all Trap effects your opponent controls."" When this card leaves the field, destroy the equipped monster.",https://yugipedia.com/wiki/Amplifier,https://ms.yugipedia.com//thumb/0/06/Amplifier-SBCB-EN-C-1E.png/300px-Amplifier-SBCB-EN-C-1E.png,4,,SBCBEN157AmplifierCommon,1
Lightning Blade,772,644,,SBCB,EN158,Lightning Blade,Common,Spell,Equip,,,,,,,Equip only to a Warrior monster. It gains 800 ATK. All WATER monsters on the field lose 500 ATK.,https://yugipedia.com/wiki/Lightning_Blade,https://ms.yugipedia.com//thumb/e/ea/LightningBlade-SBCB-EN-C-1E.png/300px-LightningBlade-SBCB-EN-C-1E.png,4,,SBCBEN158Lightning BladeCommon,1
Creature Swap,773,645,,SBCB,EN159,Creature Swap,Common,Spell,Normal,,,,,,,Each player chooses 1 monster they control and switches control of those monsters with each other. Those monsters cannot change their battle positions for the rest of this turn.,https://yugipedia.com/wiki/Creature_Swap,https://ms.yugipedia.com//thumb/1/10/CreatureSwap-SBCB-EN-C-1E.png/300px-CreatureSwap-SBCB-EN-C-1E.png,4,,SBCBEN159Creature SwapCommon,1
Reinforcement of the Army,774,646,,SBCB,EN160,Reinforcement of the Army,Common,Spell,Normal,,,,,,,Add 1 Level 4 or lower Warrior monster from your Deck to your hand.,https://yugipedia.com/wiki/Reinforcement_of_the_Army,https://ms.yugipedia.com//thumb/5/51/ReinforcementoftheArmy-SGX1-EN-C-1E.png/300px-ReinforcementoftheArmy-SGX1-EN-C-1E.png,2,,SBCBEN160Reinforcement of the ArmyCommon,1
